,%time,seq,stamp,frame_id,status,service,latitude,longitude,altitude,position_covariance0,position_covariance1,position_covariance2,position_covariance3,position_covariance4,position_covariance5,position_covariance6,position_covariance7,position_covariance8,position_covariance_type
0,1574069785621584801,52,1574069785621424087,base_link,0,1,40.3548507,-3.7441322,694.5166122,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
1,1574069785858309060,53,1574069785858138123,base_link,0,1,40.3548502,-3.7441325,694.496612,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
2,1574069786110625017,54,1574069786110338604,base_link,0,1,40.3548495,-3.7441328,694.6866115,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
3,1574069786356798524,55,1574069786356408699,base_link,0,1,40.3548485,-3.744133,694.5966107,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
4,1574069786578917013,56,1574069786578747487,base_link,0,1,40.3548486,-3.7441328,694.6766107,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
5,1574069786823725257,57,1574069786823320336,base_link,0,1,40.3548486,-3.7441326,694.6466105,0.7225000405,0,0,0,0.7225000405,0,0,0,2.016399878,1
6,1574069787069640009,58,1574069787069432241,base_link,0,1,40.3548487,-3.7441323,694.5766103,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
7,1574069787307754031,59,1574069787307332828,base_link,0,1,40.3548488,-3.7441319,694.4066101,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
8,1574069787558500208,60,1574069787558266943,base_link,0,1,40.3548473,-3.744131,693.9866079,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
9,1574069787790312573,61,1574069787789849606,base_link,0,1,40.3548466,-3.7441307,693.9766069,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
10,1574069788020608670,62,1574069788020399237,base_link,0,1,40.3548465,-3.7441305,694.0066067,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
11,1574069788273625615,63,1574069788273345510,base_link,0,1,40.3548468,-3.7441302,694.0166067,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
12,1574069788510978415,64,1574069788510716422,base_link,0,1,40.3548472,-3.74413,693.9566069,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
13,1574069788751462298,65,1574069788751078018,base_link,0,1,40.354847,-3.7441297,693.8166065,0.9604000374,0,0,0,0.9604000374,0,0,0,4.326399683,1
