rosbagTimestamp,seq,secs,nsecs,frame_id,temperature,variance,normality
1.57407E+18,52,1574069785,591444635,base_link,42.96,0,1
1.57407E+18,53,1574069785,830014844,base_link,42.96,0,1
1.57407E+18,54,1574069786,80554768,base_link,42.96,0,1
1.57407E+18,55,1574069786,320468094,base_link,42.96,0,1
1.57407E+18,56,1574069786,563029324,base_link,42.96,0,1
1.57407E+18,57,1574069786,808544042,base_link,42.96,0,1
1.57407E+18,58,1574069787,33122224,base_link,42.96,0,1
1.57407E+18,59,1574069787,279351046,base_link,42.96,0,1
1.57407E+18,60,1574069787,527432869,base_link,42.96,0,1
1.57407E+18,61,1574069787,759700375,base_link,42.96,0,1
1.57407E+18,62,1574069787,994905131,base_link,42.96,0,1
1.57407E+18,63,1574069788,232541824,base_link,42.96,0,1
1.57407E+18,64,1574069788,480847331,base_link,42.96,0,1
1.57407E+18,65,1574069788,713498567,base_link,42.96,0,1
1.57407E+18,66,1574069788,951609431,base_link,42.96,0,1
1.57407E+18,67,1574069789,196450882,base_link,42.96,0,1
1.57407E+18,68,1574069789,448624228,base_link,42.96,0,1
1.57407E+18,69,1574069789,671429201,base_link,42.96,0,1
1.57407E+18,70,1574069789,911598121,base_link,42.96,0,1
1.57407E+18,71,1574069790,160971666,base_link,42.96,0,1
1.57407E+18,72,1574069790,392794183,base_link,42.95,0,1
1.57407E+18,73,1574069790,650744752,base_link,42.96,0,1
1.57407E+18,74,1574069790,876197879,base_link,42.95,0,1
1.57407E+18,75,1574069791,120219877,base_link,42.96,0,1
1.57407E+18,76,1574069791,357188270,base_link,42.96,0,1
1.57407E+18,77,1574069791,591279953,base_link,42.95,0,1
1.57407E+18,78,1574069791,831316823,base_link,42.96,0,1
1.57407E+18,79,1574069792,74604083,base_link,42.96,0,1
1.57407E+18,80,1574069792,322926307,base_link,42.95,0,1
1.57407E+18,81,1574069792,559727542,base_link,42.96,0,1
1.57407E+18,82,1574069792,804916963,base_link,42.95,0,1
1.57407E+18,83,1574069793,41787952,base_link,42.96,0,1
1.57407E+18,84,1574069793,281397202,base_link,42.95,0,1
1.57407E+18,85,1574069793,512437076,base_link,42.95,0,1
1.57407E+18,86,1574069793,766484275,base_link,42.95,0,1
1.57407E+18,87,1574069793,946983601,base_link,42.95,0,1
1.57407E+18,88,1574069794,183286546,base_link,42.95,0,1
1.57407E+18,89,1574069794,433129731,base_link,42.95,0,1
1.57407E+18,90,1574069794,667669702,base_link,42.95,0,1
1.57407E+18,91,1574069794,905325353,base_link,42.95,0,1
1.57407E+18,92,1574069795,146457300,base_link,42.95,0,1
1.57407E+18,93,1574069795,393422120,base_link,42.95,0,1
1.57407E+18,94,1574069795,655908420,base_link,42.95,0,1
1.57407E+18,95,1574069795,867671116,base_link,42.95,0,1
1.57407E+18,96,1574069796,113003059,base_link,42.95,0,1
1.57407E+18,97,1574069796,365723433,base_link,42.96,0,1
