rosbagTimestamp,seq,secs,nsecs,frame_id,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type,normality
1.57E+18,0,1574069785,712273355,base_link,0,1,40.3548519,-3.7441363,706.6966169,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57E+18,1,1574069785,951754837,base_link,0,1,40.3548514,-3.744136,706.6766161,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57E+18,2,1574069786,192365652,base_link,0,1,40.3548506,-3.7441358,706.6666152,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57E+18,3,1574069786,432829361,base_link,0,1,40.3548502,-3.7441357,706.6566147,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57E+18,4,1574069786,666516517,base_link,0,1,40.3548502,-3.7441354,706.6466145,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57E+18,5,1574069786,912236939,base_link,0,1,40.3548502,-3.7441351,706.6266142,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57E+18,6,1574069787,151945599,base_link,0,1,40.3548504,-3.7441349,706.6166142,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57E+18,7,1574069787,392729551,base_link,0,1,40.3548503,-3.7441347,706.596614,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57E+18,8,1574069787,635570638,base_link,0,1,40.3548497,-3.7441344,706.5966131,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57E+18,9,1574069787,874802230,base_link,0,1,40.3548491,-3.7441343,706.5866124,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57E+18,10,1574069788,112376565,base_link,0,1,40.3548489,-3.7441341,706.5866121,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57E+18,11,1574069788,353414958,base_link,0,1,40.3548491,-3.7441338,706.576612,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
