,%time,seq,stamp,frame_id,fluid_pressure,variance
0,1574069785591627993,52,1574069785591444635,base_link,94247.49756,0
1,1574069785830212916,53,1574069785830014844,base_link,94245.79468,0
2,1574069786080821980,54,1574069786080554768,base_link,94246.55151,0
3,1574069786320920520,55,1574069786320468094,base_link,94244.7998,0
4,1574069786563242455,56,1574069786563029324,base_link,94245.24536,0
5,1574069786809010385,57,1574069786808544042,base_link,94246.63086,0
6,1574069787033266161,58,1574069787033122224,base_link,94247.82715,0
7,1574069787279780759,59,1574069787279351046,base_link,94245.25757,0
8,1574069787527727910,60,1574069787527432869,base_link,94247.61353,0
9,1574069787760104913,61,1574069787759700375,base_link,94245.6543,0
10,1574069787995212202,62,1574069787994905131,base_link,94246.62476,0
11,1574069788232995716,63,1574069788232541824,base_link,94244.22607,0
12,1574069788481115240,64,1574069788480847331,base_link,94249.37134,0
13,1574069788713990408,65,1574069788713498567,base_link,94248.54736,0
14,1574069788951849933,66,1574069788951609431,base_link,94245.54443,0
15,1574069789196662072,67,1574069789196450882,base_link,94246.83228,0
16,1574069789449073069,68,1574069789448624228,base_link,94247.0459,0
17,1574069789671671049,69,1574069789671429201,base_link,94247.76611,0
18,1574069789911880407,70,1574069789911598121,base_link,94248.06519,0
19,1574069790161142361,71,1574069790160971666,base_link,94245.56885,0
20,1574069790393204940,72,1574069790392794183,base_link,94245.76416,0
21,1574069790651048159,73,1574069790650744752,base_link,94248.35205,0
22,1574069790876568816,74,1574069790876197879,base_link,94247.52808,0
23,1574069791120444398,75,1574069791120219877,base_link,94245.12939,0
24,1574069791357491790,76,1574069791357188270,base_link,94245.70923,0
25,1574069791591649865,77,1574069791591279953,base_link,94246.42944,0
26,1574069791831706260,78,1574069791831316823,base_link,94247.3938,0
27,1574069792074852176,79,1574069792074604083,base_link,94247.80884,0
28,1574069792323360330,80,1574069792322926307,base_link,94243.78052,0
29,1574069792559933604,81,1574069792559727542,base_link,94246.51489,0
30,1574069792805402059,82,1574069792804916963,base_link,94247.33887,0
31,1574069793042039671,83,1574069793041787952,base_link,94245.68481,0
32,1574069793281809076,84,1574069793281397202,base_link,94246.94824,0
33,1574069793512641863,85,1574069793512437076,base_link,94246.3623,0
34,1574069793766875834,86,1574069793766484275,base_link,94246.73462,0
35,1574069793947157404,87,1574069793946983601,base_link,94245.71533,0
36,1574069794183781045,88,1574069794183286546,base_link,94246.06323,0
37,1574069794433400738,89,1574069794433129731,base_link,94248.06519,0
38,1574069794667924032,90,1574069794667669702,base_link,94246.04492,0
39,1574069794905546055,91,1574069794905325353,base_link,94245.36743,0
40,1574069795146907545,92,1574069795146457300,base_link,94244.81812,0
41,1574069795393571794,93,1574069795393422120,base_link,94245.45898,0
42,1574069795656302284,94,1574069795655908420,base_link,94245.94116,0
43,1574069795867874832,95,1574069795867671116,base_link,94246.66748,0
44,1574069796113418152,96,1574069796113003059,base_link,94245.20874,0
45,1574069796365933618,97,1574069796365723433,base_link,94248.19946,0
46,1574069796612775982,98,1574069796612409577,base_link,94248.10791,0
47,1574069796831294700,99,1574069796830920225,base_link,94244.82422,0
48,1574069797071873954,100,1574069797071675100,base_link,94244.07349,0
49,1574069797323337051,101,1574069797323140079,base_link,94245.54443,0
50,1574069797559136992,102,1574069797558728942,base_link,94245.12329,0
51,1574069797786986690,103,1574069797786703409,base_link,94246.58203,0
52,1574069798030587812,104,1574069798030393526,base_link,94245.55054,0
53,1574069798275580639,105,1574069798275177721,base_link,94244.30542,0
54,1574069798504310845,106,1574069798504117156,base_link,94246.21582,0
55,1574069798748579356,107,1574069798748180303,base_link,94245.97168,0
56,1574069798994492808,108,1574069798994243209,base_link,94247.52197,0
57,1574069799252860698,109,1574069799252490692,base_link,94245.08667,0
58,1574069799468127651,110,1574069799467854260,base_link,94244.67773,0
59,1574069799716812456,111,1574069799716427247,base_link,94247.01538,0
60,1574069799945121360,112,1574069799944899030,base_link,94246.58203,0
