rosbagTimestamp,seq,secs,nsecs,frame_id,xlt,ylt,zlt,xat,yat,zat,normality
1.57E+18,53,1574069785,712742836,base_link,0.143508762,0.070966966,-0.060465395,0,0,0,1
1.57E+18,54,1574069785,952704773,base_link,0.128834188,0.038636185,-0.063594699,0,0,0,1
1.57E+18,55,1574069786,192777145,base_link,0.111505955,0.001070892,-0.067588188,0,0,0,1
1.57E+18,56,1574069786,436379125,base_link,0.096193463,-0.015562359,-0.069535233,0,0,0,1
1.57E+18,57,1574069786,673173222,base_link,0.088152051,-0.013520202,-0.069977164,0,0,0,1
1.57E+18,58,1574069786,913132463,base_link,0.079783827,-0.008995012,-0.073354848,0,0,0,1
1.57E+18,59,1574069787,152272004,base_link,0.068999104,0.000705785,-0.076994456,0,0,0,1
1.57E+18,60,1574069787,393422648,base_link,0.058506809,-0.00433859,-0.080004983,0,0,0,1
1.57E+18,61,1574069787,636076753,base_link,0.053362802,-0.029136585,-0.079599954,0,0,0,1
1.57E+18,62,1574069787,875732097,base_link,0.039137606,-0.053519305,-0.079131663,0,0,0,1
1.57E+18,63,1574069788,112958588,base_link,0.029695153,-0.052859798,-0.079673879,0,0,0,1
1.57E+18,64,1574069788,354338323,base_link,0.0225247,-0.039234038,-0.077822059,0,0,0,1
1.57E+18,65,1574069788,593095599,base_link,0.015609389,-0.030672189,-0.075046912,0,0,0,1
1.57E+18,66,1574069788,833199200,base_link,0.008540657,-0.027394505,-0.07448262,0,0,0,1
1.57E+18,67,1574069789,72666270,base_link,0.002554954,-0.023469843,-0.073975101,0,0,0,1
1.57E+18,68,1574069789,313167484,base_link,-0.000263535,-0.028232332,-0.072323315,0,0,0,1
1.57E+18,69,1574069789,554959277,base_link,-0.001852402,-0.036325388,-0.069449566,0,0,0,1
1.57E+18,70,1574069789,792456877,base_link,-0.004426297,-0.034183085,-0.069784127,0,0,0,1
1.57E+18,71,1574069790,35945911,base_link,-0.009972611,-0.034940027,-0.069062114,0,0,0,1
