,%time,seq,stamp,frame_id,temperature,variance
0,1574069785591555921,52,1574069785591444635,base_link,42.96,0
1,1574069785830208645,53,1574069785830014844,base_link,42.96,0
2,1574069786080800557,54,1574069786080554768,base_link,42.96,0
3,1574069786320920528,55,1574069786320468094,base_link,42.96,0
4,1574069786563232151,56,1574069786563029324,base_link,42.96,0
5,1574069786808963459,57,1574069786808544042,base_link,42.96,0
6,1574069787033228229,58,1574069787033122224,base_link,42.96,0
7,1574069787279795817,59,1574069787279351046,base_link,42.96,0
8,1574069787527689995,60,1574069787527432869,base_link,42.96,0
9,1574069787760072125,61,1574069787759700375,base_link,42.96,0
10,1574069787995186429,62,1574069787994905131,base_link,42.96,0
11,1574069788232987338,63,1574069788232541824,base_link,42.96,0
12,1574069788481061985,64,1574069788480847331,base_link,42.96,0
13,1574069788713895887,65,1574069788713498567,base_link,42.96,0
14,1574069788951788376,66,1574069788951609431,base_link,42.96,0
15,1574069789196645928,67,1574069789196450882,base_link,42.96,0
16,1574069789449073373,68,1574069789448624228,base_link,42.96,0
17,1574069789671657352,69,1574069789671429201,base_link,42.96,0
18,1574069789911850219,70,1574069789911598121,base_link,42.96,0
19,1574069790161134813,71,1574069790160971666,base_link,42.96,0
20,1574069790393183007,72,1574069790392794183,base_link,42.95,0
21,1574069790651022115,73,1574069790650744752,base_link,42.96,0
22,1574069790876556184,74,1574069790876197879,base_link,42.95,0
23,1574069791120409166,75,1574069791120219877,base_link,42.96,0
24,1574069791357471139,76,1574069791357188270,base_link,42.96,0
25,1574069791591569795,77,1574069791591279953,base_link,42.95,0
26,1574069791831674076,78,1574069791831316823,base_link,42.96,0
27,1574069792074827559,79,1574069792074604083,base_link,42.96,0
28,1574069792323329723,80,1574069792322926307,base_link,42.95,0
29,1574069792559936633,81,1574069792559727542,base_link,42.96,0
30,1574069792805385293,82,1574069792804916963,base_link,42.95,0
31,1574069793041984368,83,1574069793041787952,base_link,42.96,0
32,1574069793281793722,84,1574069793281397202,base_link,42.95,0
33,1574069793512647499,85,1574069793512437076,base_link,42.95,0
34,1574069793766856234,86,1574069793766484275,base_link,42.95,0
35,1574069793947146304,87,1574069793946983601,base_link,42.95,0
36,1574069794183768605,88,1574069794183286546,base_link,42.95,0
37,1574069794433390985,89,1574069794433129731,base_link,42.95,0
38,1574069794667914701,90,1574069794667669702,base_link,42.95,0
39,1574069794905519980,91,1574069794905325353,base_link,42.95,0
40,1574069795146895826,92,1574069795146457300,base_link,42.95,0
41,1574069795393558963,93,1574069795393422120,base_link,42.95,0
42,1574069795656266834,94,1574069795655908420,base_link,42.95,0
43,1574069795867876161,95,1574069795867671116,base_link,42.95,0
44,1574069796113353327,96,1574069796113003059,base_link,42.95,0
45,1574069796365957191,97,1574069796365723433,base_link,42.96,0
46,1574069796612780621,98,1574069796612409577,base_link,42.96,0
47,1574069796831287532,99,1574069796830920225,base_link,42.95,0
48,1574069797071868502,100,1574069797071675100,base_link,42.95,0
49,1574069797323323811,101,1574069797323140079,base_link,42.96,0
50,1574069797559096680,102,1574069797558728942,base_link,42.95,0
51,1574069797787004442,103,1574069797786703409,base_link,42.96,0
