rosbagTimestamp,seq,secs,nsecs,frame_id,xlt,ylt,zlt,xat,yat,zat,normality
1.57E+18,53,1574069785,712742836,base_link,0.160412215,-0.003352011,-0.05953003,0.000213866,0.000151484,0.002009616,1
1.57E+18,54,1574069785,952704773,base_link,0.132591944,-0.025489098,-0.062489767,-0.001187363,-0.000857609,-0.001255972,1
1.57E+18,55,1574069786,192777145,base_link,0.100022562,-0.05109375,-0.066240501,0.001718535,-0.001542747,-0.001125217,1
1.57E+18,56,1574069786,436379125,base_link,0.078779401,-0.0589687,-0.068169028,0.000330002,0.000270217,0.001530935,1
1.57E+18,57,1574069786,673173222,base_link,0.072535077,-0.053504574,-0.068748139,0.000994225,-0.000740422,-0.00359525,1
1.57E+18,58,1574069786,913132463,base_link,0.067159919,-0.045708118,-0.072302256,0.000542726,-0.000277682,-0.000889685,1
1.57E+18,59,1574069787,152272004,base_link,0.062005406,-0.032199709,-0.076210427,7.65E-06,-0.000120354,-0.000310546,1
1.57E+18,60,1574069787,393422648,base_link,0.050373505,-0.031942052,-0.079277252,-0.001450993,0.001151739,-0.0001953,1
1.57E+18,61,1574069787,636076753,base_link,0.034473409,-0.051656033,-0.078587023,-0.000282415,0.000469061,0.000168266,1
1.57E+18,62,1574069787,875732097,base_link,0.01067684,-0.066890417,-0.077907416,0.000588052,0.000968357,-0.000151683,1
1.57E+18,63,1574069788,112958588,base_link,0.002556884,-0.062030604,-0.078546508,0.000726824,0.000720219,-0.001413225,1
1.57E+18,64,1574069788,354338323,base_link,0.002380465,-0.046594102,-0.076982257,-0.00058129,0.001727811,0.000447861,1
1.57E+18,65,1574069788,593095599,base_link,0.000126721,-0.035739215,-0.074425585,-0.001721766,0.00150988,0.000671123,1
1.57E+18,66,1574069788,833199200,base_link,-0.004667471,-0.029569521,-0.073992706,-0.000181804,-0.000166736,-0.001958597,1
1.57E+18,67,1574069789,72666270,base_link,-0.008208791,-0.023324238,-0.073608916,0.000948657,-0.001027484,0.000799049,1
1.57E+18,68,1574069789,313167484,base_link,-0.012888104,-0.026239714,-0.071924753,-0.000276576,0.000935694,-0.00056531,1
1.57E+18,69,1574069789,554959277,base_link,-0.017998509,-0.032674504,-0.068953882,-0.00088261,-0.000706063,-0.002731406,1
1.57E+18,70,1574069789,792456877,base_link,-0.019310909,-0.029610883,-0.069341071,0.000916903,0.000218247,0.001493177,1
1.57E+18,71,1574069790,35945911,base_link,-0.024587571,-0.027747719,-0.068668402,0.001039024,0.000834432,-0.00045498,1
1.57E+18,72,1574069790,273011778,base_link,-0.034534798,-0.033301332,-0.06591896,-0.000425078,0.000855639,-0.002121192,1
1.57E+18,73,1574069790,512409504,base_link,-0.027320453,-0.02942173,-0.065124889,0.001950328,0.001080959,-0.001037078,1
1.57E+18,74,1574069790,752043660,base_link,-0.025246248,-0.021918027,-0.065656605,-4.19E-05,0.000296873,-0.000136186,1
1.57E+18,75,1574069790,992592200,base_link,-0.025207505,-0.010167962,-0.067232812,-0.000153532,0.001211393,0.000580035,1
1.57E+18,76,1574069791,234131396,base_link,-0.022874994,0.004111453,-0.068030343,0.00106366,-0.001252313,0.001858963,1
