rosbagTimestamp,seq,secs,nsecs,frame_id,service,latitude,longitude,altitude,position_covariance,position_covariance_type,normality
1.57407E+18,52,1574069785,621424087,base_link,1,40.3548507,-3.7441322,694.5166122,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,53,1574069785,858138123,base_link,1,40.3548502,-3.7441325,694.496612,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,54,1574069786,110338604,base_link,1,40.3548495,-3.7441328,694.6866115,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,55,1574069786,356408699,base_link,1,40.3548485,-3.744133,694.5966107,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,56,1574069786,578747487,base_link,1,40.3548486,-3.7441328,694.6766107,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,57,1574069786,823320336,base_link,1,40.3548486,-3.7441326,694.6466105,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,58,1574069787,69432241,base_link,1,40.3548487,-3.7441323,694.5766103,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,59,1574069787,307332828,base_link,1,40.3548488,-3.7441319,694.4066101,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,60,1574069787,558266943,base_link,1,40.3548473,-3.744131,693.9866079,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,61,1574069787,789849606,base_link,1,40.3548466,-3.7441307,693.9766069,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,62,1574069788,20399237,base_link,1,40.3548465,-3.7441305,694.0066067,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,63,1574069788,273345510,base_link,1,40.3548468,-3.7441302,694.0166067,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,64,1574069788,510716422,base_link,1,40.3548472,-3.74413,693.9566069,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,65,1574069788,751078018,base_link,1,40.354847,-3.7441297,693.8166065,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,66,1574069788,980164701,base_link,1,40.3548468,-3.7441295,693.7166061,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,67,1574069789,230312778,base_link,1,40.3548465,-3.7441291,693.7466055,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,68,1574069789,453622044,base_link,1,40.3548459,-3.7441287,693.7266045,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,69,1574069789,710793873,base_link,1,40.354845,-3.7441285,693.9666035,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,70,1574069789,946947889,base_link,1,40.3548448,-3.7441284,693.9966032,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,71,1574069790,191822429,base_link,1,40.3548439,-3.7441285,694.0466024,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,72,1574069790,440941888,base_link,1,40.3548436,-3.7441284,693.9466021,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,73,1574069790,669575875,base_link,1,40.3548435,-3.7441281,693.8166017,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,74,1574069790,902019425,base_link,1,40.3548434,-3.744128,693.7066015,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,75,1574069791,150006812,base_link,1,40.3548434,-3.7441277,693.8166013,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,76,1574069791,387164532,base_link,1,40.354843,-3.7441273,693.8666005,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,77,1574069791,615848739,base_link,1,40.3548424,-3.744127,693.8165997,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,78,1574069791,869793048,base_link,1,40.3548421,-3.7441268,693.7565992,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,79,1574069792,105630372,base_link,1,40.3548414,-3.7441265,693.6765983,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,80,1574069792,353413888,base_link,1,40.3548406,-3.744126,693.6965971,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,81,1574069792,581239066,base_link,1,40.3548401,-3.7441257,693.7765963,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,82,1574069792,830998468,base_link,1,40.3548397,-3.7441255,693.7665958,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 6.8120994524002185]",1,1
1.57407E+18,83,1574069793,80083461,base_link,1,40.3548392,-3.7441254,693.7065952,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,84,1574069793,304530958,base_link,1,40.354839,-3.7441251,693.7165948,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,85,1574069793,549354438,base_link,1,40.3548386,-3.7441242,693.6665936,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,86,1574069793,782862819,base_link,1,40.3548377,-3.7441241,693.5365927,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,87,1574069793,989163345,base_link,1,40.3548367,-3.7441237,693.4265913,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,88,1574069794,256014194,base_link,1,40.3548359,-3.744123,693.32659,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,89,1574069794,510865686,base_link,1,40.3548359,-3.7441223,693.2565894,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,90,1574069794,768966929,base_link,1,40.3548357,-3.7441216,693.2265886,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,91,1574069795,45789478,base_link,1,40.3548357,-3.7441203,693.0865874,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,92,1574069795,295194253,base_link,1,40.3548356,-3.7441198,693.0065869,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,93,1574069795,530060619,base_link,1,40.354835,-3.7441194,692.926586,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,94,1574069795,786630282,base_link,1,40.3548344,-3.744119,692.6965851,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,95,1574069796,54405495,base_link,1,40.3548334,-3.7441183,692.5065835,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,96,1574069796,348116581,base_link,1,40.3548326,-3.7441179,692.3365824,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,97,1574069796,573308576,base_link,1,40.3548315,-3.7441175,692.126581,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,98,1574069796,855084728,base_link,1,40.3548296,-3.7441166,691.9165784,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,99,1574069797,108034561,base_link,1,40.3548285,-3.7441164,691.7465771,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,100,1574069797,364754915,base_link,1,40.3548278,-3.7441166,691.7865766,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,101,1574069797,642125924,base_link,1,40.3548272,-3.744117,691.7565764,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,102,1574069797,882793458,base_link,1,40.3548265,-3.7441159,691.5665748,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,103,1574069798,134991684,base_link,1,40.3548262,-3.7441155,691.4365741,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,104,1574069798,388394805,base_link,1,40.354826,-3.744115,691.2865735,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,105,1574069798,645271620,base_link,1,40.3548262,-3.7441132,691.0865722,"[0.9604000373840336, 0.0, 0.0, 0.0, 0.9604000373840336, 0.0, 0.0, 0.0, 4.326399682617193]",1,1
1.57407E+18,106,1574069798,910877483,base_link,1,40.3548259,-3.7441125,691.1665713,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,107,1574069799,174202959,base_link,1,40.3548259,-3.7441117,690.9265706,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,108,1574069799,439879882,base_link,1,40.3548261,-3.7441108,690.81657,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,109,1574069799,690305737,base_link,1,40.3548263,-3.7441102,690.5465697,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,110,1574069799,972522845,base_link,1,40.3548264,-3.74411,690.4265696,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
1.57407E+18,111,1574069800,234850362,base_link,1,40.3548266,-3.7441082,690.3865682,"[0.722500040531159, 0.0, 0.0, 0.0, 0.722500040531159, 0.0, 0.0, 0.0, 2.016399878120424]",1,1
