,%time,seq,stamp,frame_id,xl,yl,zl,twist.angular.x,twist.angular.y,twist.angular.z
0,1574069785858310873,53,1574069785858138123,map,-0.1374537838,0.1844083982,0,0,0,0
1,1574069786110607127,54,1574069786110338604,map,-0.2510025617,0.3367457706,0,0,0,0
2,1574069786356798510,55,1574069786356408699,map,-0.1075725265,0.144319616,0,0,0,0
3,1574069786578917008,56,1574069786578747487,map,-0.1553825382,0.2084616675,0,0,0,0
4,1574069786823743811,57,1574069786823320336,map,-0.01195250294,0.01603551288,0,0,0,0
5,1574069787069667058,58,1574069787069432241,map,-0.1792875441,0.2405326933,0,0,0,0
6,1574069787307759646,59,1574069787307332828,map,-0.02988125735,0.04008878221,0,0,0,0
7,1574069787558532405,60,1574069787558266943,map,-0.2689313161,0.3607990399,0,0,0,0
8,1574069787790332108,61,1574069787789849606,map,-0.1613587897,0.2164794239,0,0,0,0
9,1574069788020639094,62,1574069788020399237,map,-0.1195250294,0.1603551288,0,0,0,0
10,1574069788273643176,63,1574069788273345510,map,-0.2211213044,0.2966569884,0,0,0,0
11,1574069788510970145,64,1574069788510716422,map,-0.1553825382,0.2084616675,0,0,0,0
12,1574069788751498044,65,1574069788751078018,map,-0.02988125735,0.04008878221,0,0,0,0
13,1574069788980396936,66,1574069788980164701,map,-0.04781001176,0.06414205154,0,0,0,0
14,1574069789230767507,67,1574069789230312778,map,-0.04781001176,0.06414205154,0,0,0,0
15,1574069789453832348,68,1574069789453622044,map,-0.08964377205,0.1202663466,0,0,0,0
16,1574069789711239576,69,1574069789710793873,map,-0.1494062867,0.2004439111,0,0,0,0
17,1574069789947069266,70,1574069789946947889,map,-0.0597625147,0.08017756442,0,0,0,0
18,1574069790192174529,71,1574069790191822429,map,-0.1733112926,0.2325149368,0,0,0,0
19,1574069790441599741,72,1574069790440941888,map,-0.1972162985,0.2645859626,0,0,0,0
20,1574069790669859128,73,1574069790669575875,map,-0.1434300353,0.1924261546,0,0,0,0
21,1574069790902445803,74,1574069790902019425,map,-0.09562002352,0.1282841031,0,0,0,0
22,1574069791150266830,75,1574069791150006812,map,-0.1314775323,0.1763906417,0,0,0,0
23,1574069791387584350,76,1574069791387164532,map,-0.101596275,0.1363018595,0,0,0,0
24,1574069791616105919,77,1574069791615848739,map,-0.02390500588,0.03207102577,0,0,0,0
25,1574069791870172795,78,1574069791869793048,map,-0.0597625147,0.08017756442,0,0,0,0
26,1574069792105851736,79,1574069792105630372,map,-0.1792875441,0.2405326933,0,0,0,0
27,1574069792353802462,80,1574069792353413888,map,-0.05378626323,0.07215980798,0,0,0,0
28,1574069792581445327,81,1574069792581239066,map,-0.05378626323,0.07215980798,0,0,0,0
29,1574069792831466693,82,1574069792830998468,map,-0.02390500588,0.03207102577,0,0,0,0
30,1574069793080288853,83,1574069793080083461,map,-0.09562002352,0.1282841031,0,0,0,0
31,1574069793304963910,84,1574069793304530958,map,-0.1314775323,0.1763906417,0,0,0,0
32,1574069793549577285,85,1574069793549354438,map,-0.08964377205,0.1202663466,0,0,0,0
33,1574069793783236760,86,1574069793782862819,map,-0.2689313161,0.3607990399,0,0,0,0
34,1574069793989357647,87,1574069793989163345,map,-0.2091688014,0.2806214755,0,0,0,0
35,1574069794256403759,88,1574069794256014194,map,-0.2211213044,0.2966569884,0,0,0,0
36,1574069794511047627,89,1574069794510865686,map,-0.04183376029,0.0561242951,0,0,0,0
37,1574069794769409556,90,1574069794768966929,map,-0.1075725265,0.144319616,0,0,0,0
38,1574069795046011750,91,1574069795045789478,map,-0.20319255,0.272603719,0,0,0,0
39,1574069795295598740,92,1574069795295194253,map,-0.05378626323,0.07215980798,0,0,0,0
40,1574069795530253610,93,1574069795530060619,map,-0.1314775323,0.1763906417,0,0,0,0
41,1574069795787111698,94,1574069795786630282,map,-0.08366752058,0.1122485902,0,0,0,0
42,1574069796054639113,95,1574069796054405495,map,-0.1195250294,0.1603551288,0,0,0,0
43,1574069796348368795,96,1574069796348116581,map,-0.2510025617,0.3367457706,0,0,0,0
44,1574069796573642101,97,1574069796573308576,map,-0.2450263103,0.3287280141,0,0,0,0
45,1574069796855284990,98,1574069796855084728,map,-0.2270975559,0.3046747448,0,0,0,0
46,1574069797108410258,99,1574069797108034561,map,-0.2689313161,0.3607990399,0,0,0,0
47,1574069797364950888,100,1574069797364754915,map,-0.2390500588,0.3207102577,0,0,0,0
48,1574069797642552573,101,1574069797642125924,map,-0.2211213044,0.2966569884,0,0,0,0
49,1574069797883106725,102,1574069797882793458,map,-0.08964377205,0.1202663466,0,0,0,0
50,1574069798135311919,103,1574069798134991684,map,-0.06573876617,0.08819532087,0,0,0,0
51,1574069798388618506,104,1574069798388394805,map,-0.101596275,0.1363018595,0,0,0,0
52,1574069798645693260,105,1574069798645271620,map,-0.06573876617,0.08819532087,0,0,0,0
53,1574069798911082208,106,1574069798910877483,map,-0.09562002352,0.1282841031,0,0,0,0
54,1574069799174602790,107,1574069799174202959,map,-0.1494062867,0.2004439111,0,0,0,0
55,1574069799440080377,108,1574069799439879882,map,-0.2390500588,0.3207102577,0,0,0,0
56,1574069799690737001,109,1574069799690305737,map,-0.05378626323,0.07215980798,0,0,0,0
57,1574069799972734299,110,1574069799972522845,map,-0.1075725265,0.144319616,0,0,0,0
58,1574069800235054897,111,1574069800234850362,map,-0.2569788132,0.344763527,0,0,0,0
59,1574069800491150328,112,1574069800490743013,map,-0.1434300353,0.1924261546,0,0,0,0
60,1574069800774300654,113,1574069800774095054,map,-0.1075725265,0.144319616,0,0,0,0
61,1574069801012666070,114,1574069801012252347,map,-0.1972162985,0.2645859626,0,0,0,0
62,1574069801273376687,115,1574069801273144321,map,-0.1374537838,0.1844083982,0,0,0,0
63,1574069801532004460,116,1574069801531611086,map,-0.01195250294,0.01603551288,0,0,0,0
64,1574069801790985800,117,1574069801790678755,map,-0.04781001176,0.06414205154,0,0,0,0
65,1574069802048071376,118,1574069802047637279,map,-0.07769126911,0.1042308338,0,0,0,0
66,1574069802315629817,119,1574069802315343317,map,-0.101596275,0.1363018595,0,0,0,0
67,1574069802603454682,120,1574069802603077054,map,-0.1374537838,0.1844083982,0,0,0,0
68,1574069802865606799,121,1574069802865379391,map,-0.05378626323,0.07215980798,0,0,0,0
69,1574069803092279234,122,1574069803091852668,map,-0.1255012809,0.1683728853,0,0,0,0
70,1574069803347751993,123,1574069803347540366,map,-0.07769126911,0.1042308338,0,0,0,0
71,1574069803591569409,124,1574069803591191825,map,-0.0597625147,0.08017756442,0,0,0,0
