,rosbagTimestamp,seq,frame_id,xo,yo,zo,wo,orientation_covariance,orientation_covariance1,orientation_covariance2,orientation_covariance3,orientation_covariance4,orientation_covariance5,orientation_covariance6,orientation_covariance7,orientation_covariance8,xav,yav,zav,angular_velocity_covariance0,angular_velocity_covariance1,angular_velocity_covariance2,angular_velocity_covariance3,angular_velocity_covariance4,angular_velocity_covariance5,angular_velocity_covariance6,angular_velocity_covariance7,angular_velocity_covariance8,xla,yla,zla,linear_acceleration_covariance0,linear_acceleration_covariance1,linear_acceleration_covariance2,linear_acceleration_covariance3,linear_acceleration_covariance4,linear_acceleration_covariance5,linear_acceleration_covariance6,linear_acceleration_covariance7,linear_acceleration_covariance8
0,1.57E+18,52,base_link,-0.007621185,-0.004687104,-0.234685299,-0.972030225,1,0,0,0,1,0,0,0,1,0.000213866,0.000151484,0.002009616,1.22E-07,0,0,0,1.22E-07,0,0,0,1.22E-07,-0.10787315,0.08825985,9.80665,9.00E-08,0,0,0,9.00E-08,0,0,0,9.00E-08
1,1.57E+18,53,base_link,-0.007844751,-0.004502887,-0.234648046,-0.972038311,1,0,0,0,1,0,0,0,1,-0.001187363,-0.000857609,-0.001255972,1.22E-07,0,0,0,1.22E-07,0,0,0,1.22E-07,-0.10787315,0.06864655,9.77723005,9.00E-08,0,0,0,9.00E-08,0,0,0,9.00E-08
2,1.57E+18,54,base_link,-0.008120401,-0.004272798,-0.234578753,-0.972053811,1,0,0,0,1,0,0,0,1,0.001718535,-0.001542747,-0.001125217,1.22E-07,0,0,0,1.22E-07,0,0,0,1.22E-07,-0.10787315,0.0784532,9.77723005,9.00E-08,0,0,0,9.00E-08,0,0,0,9.00E-08
3,1.57E+18,55,base_link,-0.008404232,-0.004010122,-0.234530372,-0.972064191,1,0,0,0,1,0,0,0,1,0.000330002,0.000270217,0.001530935,1.22E-07,0,0,0,1.22E-07,0,0,0,1.22E-07,-0.1176798,0.06864655,9.7870367,9.00E-08,0,0,0,9.00E-08,0,0,0,9.00E-08
4,1.57E+18,56,base_link,-0.008488704,-0.003894096,-0.234552425,-0.972058608,1,0,0,0,1,0,0,0,1,0.000994225,-0.000740422,-0.00359525,1.22E-07,0,0,0,1.22E-07,0,0,0,1.22E-07,-0.0980665,0.0784532,9.77723005,9.00E-08,0,0,0,9.00E-08,0,0,0,9.00E-08
5,1.57E+18,57,base_link,-0.008411635,-0.003831706,-0.234527381,-0.972065569,1,0,0,0,1,0,0,0,1,0.000542726,-0.000277682,-0.000889685,1.22E-07,0,0,0,1.22E-07,0,0,0,1.22E-07,-0.10787315,0.0784532,9.7870367,9.00E-08,0,0,0,9.00E-08,0,0,0,9.00E-08
6,1.57E+18,58,base_link,-0.008259107,-0.003832091,-0.234504787,-0.972072326,1,0,0,0,1,0,0,0,1,7.65E-06,-0.000120354,-0.000310546,1.22E-07,0,0,0,1.22E-07,0,0,0,1.22E-07,-0.0980665,0.08825985,9.77723005,9.00E-08,0,0,0,9.00E-08,0,0,0,9.00E-08
7,1.57E+18,59,base_link,-0.008131954,-0.003787356,-0.234542564,-0.972064459,1,0,0,0,1,0,0,0,1,-0.001450993,0.001151739,-0.0001953,1.22E-07,0,0,0,1.22E-07,0,0,0,1.22E-07,-0.10787315,0.0784532,9.7870367,9.00E-08,0,0,0,9.00E-08,0,0,0,9.00E-08
8,1.57E+18,60,base_link,-0.008166998,-0.003697888,-0.234511614,-0.972071977,1,0,0,0,1,0,0,0,1,-0.000282415,0.000469061,0.000168266,1.22E-07,0,0,0,1.22E-07,0,0,0,1.22E-07,-0.10787315,0.08825985,9.77723005,9.00E-08,0,0,0,9.00E-08,0,0,0,9.00E-08
9,1.57E+18,61,base_link,-0.008385852,-0.003619899,-0.234486903,-0.972076368,1,0,0,0,1,0,0,0,1,0.000588052,0.000968357,-0.000151683,1.22E-07,0,0,0,1.22E-07,0,0,0,1.22E-07,-0.10787315,0.06864655,9.79684335,9.00E-08,0,0,0,9.00E-08,0,0,0,9.00E-08
